i,Estimacion,Error relativo,tiempo (ms)
1,3061.0,0.0389,19.0411
2,3208.0,0.0072,14.6079
3,3181.0,0.0013,11.5309
4,3273.0,0.0276,14.5731
5,3138.0,0.0148,11.3668
6,3252.0,0.021,14.601
7,3162.0,0.0072,11.2131
8,3230.0,0.0141,17.9021
9,3075.0,0.0345,14.5369
10,3285.0,0.0314,11.6251
11,3055.0,0.0408,14.519
12,3143.0,0.0132,10.6969
13,3282.0,0.0305,14.662
14,3106.0,0.0248,11.951
15,3405.0,0.0691,8.9521
16,2974.0,0.0662,14.226
17,3315.0,0.0408,14.6561
18,3492.0,0.0964,12.1479
19,3247.0,0.0195,10.026
20,2977.0,0.0653,14.528
21,3051.0,0.0421,10.5779
22,3035.0,0.0471,14.5428
23,3413.0,0.0716,11.0481
24,3282.0,0.0305,14.488
25,3014.0,0.0537,11.215
26,3283.0,0.0308,14.534
27,3063.0,0.0383,11.3621
28,3612.0,0.1341,14.5419
29,3333.0,0.0465,11.1949
30,3191.0,0.0019,14.4329
31,3144.0,0.0129,11.3008
32,3213.0,0.0088,14.2989
33,3422.0,0.0744,11.4212
34,3114.0,0.0223,14.411
35,3072.0,0.0355,11.452
36,2711.0,0.1488,14.5419
37,3325.0,0.044,11.4219
38,3017.0,0.0527,14.5919
39,3249.0,0.0201,11.2879
40,3194.0,0.0028,14.2992
41,2985.0,0.0628,14.6129
42,2949.0,0.0741,13.8681
43,3200.0,0.0047,9.867
44,2861.0,0.1017,14.5369
45,3207.0,0.0069,14.4711
46,2864.0,0.1008,13.1791
47,2997.0,0.059,14.6232
48,3091.0,0.0295,12.028
49,3289.0,0.0327,14.406
50,3306.0,0.038,11.687
51,3072.0,0.0355,14.4372
52,3161.0,0.0075,11.56
53,3147.0,0.0119,14.3571
54,2915.0,0.0848,11.3451
55,3375.0,0.0597,14.482
56,3345.0,0.0502,11.548
57,3105.0,0.0251,14.5459
58,3569.0,0.1206,11.4548
59,3230.0,0.0141,14.436
60,3170.0,0.0047,11.2939
61,3242.0,0.0179,14.4942
62,3233.0,0.0151,11.198
63,3132.0,0.0166,14.411
64,3201.0,0.005,11.306
65,3132.0,0.0166,14.2581
66,3063.0,0.0383,11.5139
67,2898.0,0.0901,14.5402
68,2848.0,0.1058,11.42
69,2902.0,0.0889,14.636
70,3152.0,0.0104,11.301
71,2943.0,0.076,11.2641
72,3161.0,0.0075,13.0992
73,3216.0,0.0097,14.461
74,3071.0,0.0358,12.054
75,3453.0,0.0841,14.5881
76,3544.0,0.1127,11.467
77,3402.0,0.0681,14.3769
78,3042.0,0.0449,11.492
79,3081.0,0.0327,14.3828
80,3151.0,0.0107,11.5469
81,2981.0,0.0641,14.6079
82,3212.0,0.0085,11.39
83,3098.0,0.0273,14.3859
84,3122.0,0.0198,14.586
85,2890.0,0.0926,13.8559
86,3160.0,0.0078,9.922
87,3179.0,0.0019,14.365
88,3037.0,0.0465,10.6459
89,2741.0,0.1394,14.1609
90,3229.0,0.0138,11.3239
91,3148.0,0.0116,15.4591
92,3620.0,0.1366,12.6162
93,3349.0,0.0515,14.3201
94,3096.0,0.0279,14.586
95,2880.0,0.0958,12.646
96,3537.0,0.1105,14.504
97,3208.0,0.0072,11.7948
98,3480.0,0.0926,14.5521
99,3197.0,0.0038,11.4839
100,3202.0,0.0053,14.4269
